,보증금(만원),층,건축년도,home_cnt,home_size,room_cnt,bath_cnt,edu,bus,sub_dist,1호선,2호선,3호선,4호선,5호선,6호선,7호선,8호선,9호선,살인 검거율,강도 검거율,"강간,추행 검거율",절도 검거율,폭력 검거율,인구 십만명당 살인발생,인구 십만명당 강도발생,"인구 십만명당 강간,추행발생",인구 십만명당 절도발생,인구 십만명당 폭력발생,park,han_park,center_weight,rate,"('강남구',)","('강북구',)","('강서구',)","('관악구',)","('광진구',)","('구로구',)","('금천구',)","('노원구',)","('도봉구',)","('동대문구',)","('동작구',)","('마포구',)","('서대문구',)","('서초구',)","('성북구',)","('송파구',)","('양천구',)","('영등포구',)","('용산구',)","('은평구',)","('종로구',)","('중구',)","('중랑구',)"
보증금(만원),1.0,0.19890362498149364,0.25248282105248493,0.1379329026334263,0.6143582104298357,0.5078556768015994,0.47619324645419203,0.13251807165061835,-0.10981697999211942,-0.12402342700469443,-0.023702718132021884,0.1029639359485782,0.2728115192940645,-0.10133594516558614,-0.014754704375002143,-0.06791789676371471,-0.15705766969825433,0.10873588135016696,0.21873429779714595,-0.07459911935757306,-0.14191133045305487,-0.04727654538334148,-0.16195885720907524,0.019456663824175623,0.01778638147427517,0.2755869262195432,0.3554836797405253,0.2519276017357377,0.15250089741943645,-0.03528448282606532,0.05954373750864673,0.2459566442521237,0.07695300939025095,0.28247904149231906,-0.06495307723758738,-0.10867964705384882,-0.05722756317541668,0.050705047884157854,-0.09645854098438847,-0.08341426241997082,-0.251507633619534,-0.14882746711694406,-0.039969767632256556,0.017731201085378116,0.015194623733723024,-0.02617424155414937,0.28680770631637925,-0.044887087874316625,0.16820510091544705,-0.0001606535488047775,-0.011751982571411863,0.06981330150978446,-0.05574480067341418,-0.006413729803898839,0.013801861230334935,-0.08893028931988109
층,0.19890362498149364,1.0,0.20145902012124123,0.15652403434119838,0.06463724190982711,0.043639987075686774,0.11386461762334077,-0.0696545864982865,-0.023277405172861306,-0.030208019699777405,0.025181615403589878,0.07581192645096488,-0.03358820938465333,-0.0016202311560009298,-0.052741413054299746,0.016982726638567192,-0.012736642019306993,0.06198593124001031,0.09643489053388926,-0.06168163164634285,-0.030044218287940915,-0.0283244972747293,-0.03545760326605078,0.03411580415656547,0.027348794820835614,0.02788784307755827,0.018573480260726707,0.03872584077661125,0.027018862713268164,-0.040258038559219896,0.0032347173338297427,0.0770497537038298,-0.005539424803003658,-0.03800094676241057,0.0025329474827653587,-0.05032605709414538,0.017366663260013272,0.03854162477482144,0.029683064429785175,4.301449158304367e-05,-0.0521426021205703,-0.023653890238832742,0.029745271360893874,-0.003156942994995081,0.01067294010731058,-0.00827400886451726,0.0006708099167700373,0.04493090962991904,0.08702736288990458,-0.06249702618277639,0.015219807049812108,0.022485932250871508,-0.02857113592104318,-0.015714052119648148,0.03193268525705372,0.0033178576369949065
건축년도,0.25248282105248493,0.20145902012124123,1.0,-0.029509637863083606,0.032405799895112136,0.07578028592445304,0.48179983785326463,-0.21948006944105228,0.022881925103063406,0.04486033199166062,0.08203988094519442,0.07521372425631627,-0.05014833597597795,-0.03496630925851386,-0.01056057954580937,0.13229965196170293,-0.1047724725172383,0.08497695172838252,0.0808019731974876,-0.08789486161625402,-0.15995446350532358,-0.019932144474212748,0.17538846826080454,0.19628636509576614,0.07710529575658821,-0.023264472469468167,0.030611830173635477,0.025054267317963546,0.017281628808577906,-0.0848514576495258,-0.06478559082448344,0.0784298352446272,-0.10560146555342577,-0.12196125930394233,0.0401361102285548,0.07711257997637129,0.05032494638849349,-0.014501603491985725,0.0010809845102863291,-0.01331082426803411,-0.19948774981332867,-0.11021605949157781,0.11519144630741895,0.02426273718189734,0.06135419406340588,0.07590441690929857,0.05246078978738954,0.13902648473359613,0.039491648055374244,-0.13338900892463929,-0.07655361412800663,-0.006895889088893092,0.14175254010731755,0.0044186269103056305,0.05542775208733404,0.02270453990825548
home_cnt,0.1379329026334263,0.15652403434119838,-0.029509637863083606,1.0,-0.038570150062870255,-0.008755993416575425,-0.04740175402238298,0.18678899560351672,-0.18310534077808904,-0.11033498767054994,-0.02646517112196522,0.07462056080966174,-0.07762169728866529,-0.011572963398954625,-0.08579306125999782,-0.054028145593369825,-0.05063017660225244,0.24759717241624843,0.4328286811677587,0.10267292970360634,0.14311181221984315,-0.013340350195529259,-0.21751944865032033,0.01980177853338962,-0.151602598803742,-0.07432582180454872,-0.1712320705219517,-0.05407673959547684,-0.10097124460498899,-0.08323103517562402,-0.056392046138161116,0.1259826258754091,0.03740001594041417,-0.04273209979069448,0.03032478737579634,-0.09906602754385042,-0.0006164563070264932,-0.07515264052413487,-0.06712388261418684,-0.013310661989923391,0.10502662952517101,0.008634672873535849,-0.03710765326476871,-0.06379088713622211,-0.04567316335371546,-0.02529119568282776,-0.10161979675005786,0.0007713328289802989,0.37884268788521247,0.011794719721769605,-0.061135809896124764,-0.07162494158675489,-0.07361907324530786,-0.04032655494502361,0.06966840209212236,-0.049954478548882665
home_size,0.6143582104298357,0.06463724190982711,0.032405799895112136,-0.038570150062870255,1.0,0.8208019544241427,0.6330961519885896,-0.022172004833764244,-0.052048550006023396,-0.017338471750238,0.007458989764918764,0.04521663379705051,0.12036810323384182,-0.033335445990897744,0.020677682442917195,-0.015268949102473315,-0.09815908834002235,0.03796665204817461,0.08551251468089709,-0.06687627264856928,-0.08437003480239579,-0.016486298754951785,-0.036022146936122844,0.022091655943727317,0.0497780971705758,0.13269772441045832,0.1715925214643867,0.12055028606526537,0.09022415576986846,0.017915559509019963,0.059238852161131984,0.09585340540816846,0.010484262204625179,0.09257936431017012,-0.009752054297966543,-0.06654167763652291,-0.013752562833828962,0.0388053487103456,-0.03626502975702405,-0.03385268724516831,-0.18232298410998357,-0.07090064484107553,-0.0005953359048557888,0.03095403307655763,-0.016769622299362876,0.005352027444699562,0.13236691064372683,0.009413703361162387,0.05325696231700199,0.010567899252792208,0.03608953867041837,0.08020168864774577,-0.0019156265143571046,0.011054132741419042,-0.0002216478530388591,-0.031045461752298737
room_cnt,0.5078556768015994,0.043639987075686774,0.07578028592445304,-0.008755993416575425,0.8208019544241427,1.0,0.6010659206854757,-0.06040180375486442,-0.06929857622407938,0.0209669995549893,0.010719100338210285,0.042597542601771975,0.10586930893857362,-0.05120893744471861,0.031569227180012815,0.006189859305890768,-0.11348702425358681,0.060881182164000625,0.07256566896397894,-0.07482437620900712,-0.09555175867732146,-0.029230202550797148,0.027225929083988232,0.06562952479869782,0.07080769074844297,0.1105553428225122,0.1441489882033639,0.0918693990188317,0.07999425116151564,-0.011456013070116866,0.04690908143051576,0.05504731625278766,0.03735360277056865,0.0805381379631323,0.013155635737228926,-0.008913056616114742,0.0024753116917176302,0.00479051238890037,-0.013204231819520384,-0.013706077073477868,-0.2035156561393873,-0.08367786211436459,0.01616272080408068,0.01909917796867144,-0.002908477685422884,0.019548178519839324,0.08397505377700348,0.04843062183843864,0.056834137434171164,-0.03257607480738772,0.016974256243704855,0.07174227785180948,0.011562880868307007,-0.006305629458014245,-0.002600564279580638,-0.02104809342190323
bath_cnt,0.47619324645419203,0.11386461762334077,0.48179983785326463,-0.04740175402238298,0.6330961519885896,0.6010659206854757,1.0,-0.11951061119422633,-0.012361986049106509,0.019843520778932047,0.03714137094187297,0.04822557702571097,0.04464794679440882,-0.016855893272164055,0.009390872084288883,0.04189033443116293,-0.12007832085103011,0.08754887856251983,0.08871991357358046,-0.08155452579181574,-0.128283132469527,-0.025492934593266414,0.07431305794809295,0.12680716502106334,0.05972658017644112,0.042207327063455924,0.0917458951810068,0.050267974507551466,0.03264325523540305,-0.009885334553726931,0.026572160886222877,0.08497322072973985,-0.014968652501998742,-0.015351108538294451,0.04346937076808639,0.012724971628090416,0.008211132792419883,0.02081917213561606,-0.038225244056898755,-0.029617661702788328,-0.21124152969553106,-0.07303697137581219,0.04846930203650159,0.03985988561814806,0.029333699053554672,0.03026072916372514,0.08451364846374759,0.09849778958315807,0.06981805748079782,-0.07402621557008145,-0.010347692153926143,0.03392963678898392,0.058736563827862645,-0.0007890551881843117,0.0034623173801763495,-0.005382737932451918
edu,0.13251807165061835,-0.0696545864982865,-0.21948006944105228,0.18678899560351672,-0.022172004833764244,-0.06040180375486442,-0.11951061119422633,1.0,-0.09874151833644626,-0.06481806387606004,-0.15969165233718943,-0.10099154178646066,0.18745211007147805,-0.03837934979255894,0.1357287675638822,-0.34644333525759546,-0.05347903763081337,0.21398038015379822,0.19953918005249097,0.517567393525111,0.20873684410584625,0.0012041277476288522,-0.19121264098470292,-0.16313292800658616,-0.40717327944881887,-0.12499426483727902,-0.1874542007028962,-0.2186090545497412,-0.32944528625266345,-0.04445808116962495,-0.057849430872221184,0.01246712568552449,0.1945007208806243,0.28390255535855446,-0.13556873427223626,0.25479125157101673,-0.19950721125565996,-0.18350185292762203,-0.23546313427687132,-0.13253144782604873,0.31653636831001253,0.16999556607932856,-0.2160804773621022,-0.21293131098831505,-0.24448376175331438,-0.2013129765502827,0.22254453058569937,-0.2411646723921702,0.3087031865276233,0.2543067690348165,-0.19030022096193497,-0.18854457179506676,-0.1867811026331001,-0.08662715543603818,-0.12225533947892529,-0.18114515695444638
bus,-0.10981697999211942,-0.023277405172861306,0.022881925103063406,-0.18310534077808904,-0.052048550006023396,-0.06929857622407938,-0.012361986049106509,-0.09874151833644626,1.0,0.048862876359100936,-0.03806947427857559,-0.00941801749256581,-0.09517761288160297,0.07423997704562661,-0.013368051476497533,0.05102914465984571,0.10117241672125064,-0.07655508980600297,-0.13765171431302234,-0.03602820588848847,-0.005782160085231775,0.0014667205267578152,0.016790119647647435,-0.06624699200519753,-0.030028417914908196,-0.09025645918139143,-0.059013053469329654,-0.07947932299337211,-0.05974720861415913,0.07749022508855173,-0.006731876219313535,-0.06505565587294816,-0.06719415773848915,-0.11245450445821618,-0.043328026948559514,-0.040231214866991355,0.026210742422673315,0.02926054988973132,0.060041467584674144,0.002815244751358072,0.07410071474373159,0.058110426977778955,-0.004965735537347669,0.05954341413207343,-0.002055985373654422,0.018579025054359915,-0.0020669109420760447,0.058633881305397255,-0.118227369606016,-0.010553654921334263,0.0071187885093610195,0.03409267108145145,0.004700514372087584,0.01178848551521158,-0.041441376748973004,0.02514172598067534
sub_dist,-0.12402342700469443,-0.030208019699777405,0.04486033199166062,-0.11033498767054994,-0.017338471750238,0.0209669995549893,0.019843520778932047,-0.06481806387606004,0.048862876359100936,1.0,0.010933235571863792,0.12014566490887006,-0.07265353280144647,0.02809036378561159,0.08179168403030036,0.004176691000640173,0.008846276496369682,-0.05374503128605913,-0.11908093484676555,0.13609183069205694,-0.03139212118731689,-0.03253686246277398,0.2787928854422947,0.10099752479577527,0.10675454335035063,-0.055467724250834724,-0.07880179593852882,-0.11191244105769226,-0.033881415846967446,0.08820283769484563,-0.04553471988021938,-0.1240493459885859,0.032575478646112356,-0.0981314786762441,0.09877313513502022,0.19961705771318516,0.09018284739119954,-0.0626884667184156,0.0978733869356727,0.378766294752298,-0.12191531941038494,0.022061812606669146,0.03650367217458044,-0.008897348545558913,-0.06969938001071721,-0.0165834339861814,0.011371927207579575,-0.01716344705436204,-0.1470272374899365,0.07838049393473778,-0.06027720300922849,-0.033858106639682424,-0.03602171098428593,-0.03734809170987633,-0.06219039810613564,-0.014106026048553355
1호선,-0.023702718132021884,0.025181615403589878,0.08203988094519442,-0.02646517112196522,0.007458989764918764,0.010719100338210285,0.03714137094187297,-0.15969165233718943,-0.03806947427857559,0.010933235571863792,1.0,0.12595329171134168,-0.06002338329561599,-0.034504254841828015,0.06155675275774437,0.04466023568156223,-0.048474821148792244,-0.03846044098697706,-0.03680829834893383,-0.11098270418754586,0.03706894792676362,0.09215864843096046,0.163161902705652,0.35573944607573316,0.12551878467851224,0.12113506518323676,-0.009180360072748348,0.11201383744957583,0.12655870102879832,0.07908777814211809,-0.013865250709180842,-0.024186735847086048,-0.005204910078802866,-0.04836050000876756,-0.01824396986571265,-0.04340162528045206,-0.025415939096196306,-0.023715497190923862,-0.03129924569496632,-0.016496514392805434,-0.04990020978160271,-0.009146938360142486,0.5816132211226072,-0.02844211131975974,-0.03208902274924857,-0.0220826345569621,-0.036808387607012,-0.03245439325974328,-0.05258508658338997,-0.04292700978840227,-0.023402338357504104,0.0016624279661374604,0.020352470593325872,0.08181687096993351,0.09542739830035661,-0.024377352215740347
2호선,0.1029639359485782,0.07581192645096488,0.07521372425631627,0.07462056080966174,0.04521663379705051,0.042597542601771975,0.04822557702571097,-0.10099154178646066,-0.00941801749256581,0.12014566490887006,0.12595329171134168,1.0,-0.13138201225581167,-0.24216882499044837,0.01064381048399444,-0.15999893055131068,-0.09219297158187086,0.02115577859818976,0.11190079897101113,0.11796860185174994,0.12108143485404006,-0.05821453136228945,-0.09878208069997682,-0.10228959338376245,0.06654850470018027,0.023875840850614415,0.00467071111040787,0.10166734899574917,0.01860579568449549,-0.04114445515304895,-0.055089042589382804,0.14802849131340462,-0.1446858377240355,-0.10007471140995576,-0.07466621023680765,-0.12064452643613106,0.2685087328527697,0.13981154449053557,0.18178879007660695,0.13761440288395807,-0.22007118045247073,-0.10340047408388583,0.08826226223608186,-0.04023589350632559,-0.015133556867310204,0.020040168783942724,0.05910177523962966,-0.1310963562874245,0.06204005872547392,0.2506722457272788,0.0020562176774885327,-0.10505966261352637,-0.08785631936401232,-0.03630662905664338,0.04600911923747607,-0.09840162352283874
3호선,0.2728115192940645,-0.03358820938465333,-0.05014833597597795,-0.07762169728866529,0.12036810323384182,0.10586930893857362,0.04464794679440882,0.18745211007147805,-0.09517761288160297,-0.07265353280144647,-0.06002338329561599,-0.13138201225581167,1.0,-0.18276778586662482,-0.13874900090222547,-0.08391748005155543,-0.16059884044331582,0.04050291670553712,-0.06794420725746418,-0.10801602013125532,-0.34247950804877564,0.02081208273381287,-0.006000265699380637,0.05151384100259914,0.035500802219565065,0.41485185714156186,0.45549628481040433,0.33651081651924014,0.2588673162487337,-0.047245833638447,-0.004228814319841486,0.20424861792876792,0.2640967814747169,0.501306030567023,-0.05712456841622725,-0.13589690900377002,-0.08406631071746155,-0.07732213631955312,-0.09921705027124038,-0.055844747679333215,-0.16882963514397095,-0.09037431515616476,-0.08976539378391207,-0.08763412443261841,-0.09867096696524638,0.17213342641924734,0.37052096423386016,-0.09047046851011861,0.00742046701002572,-0.1353199062069949,-0.07021023327922957,-0.028456643728511748,0.12422543773901615,0.039711033519472465,0.08841165326952402,-0.04961142107276919
4호선,-0.10133594516558614,-0.0016202311560009298,-0.03496630925851386,-0.011572963398954625,-0.033335445990897744,-0.05120893744471861,-0.016855893272164055,-0.03837934979255894,0.07423997704562661,0.02809036378561159,-0.034504254841828015,-0.24216882499044837,-0.18276778586662482,1.0,-0.2573566561438959,-0.09718779177191342,0.060664445979736366,-0.11387705953875896,-0.1089852501696863,-0.14326972334881682,-0.08652807212843272,0.017403783445959928,0.06379392407039389,0.10253909575687066,-0.18844749262830954,-0.11524904065340329,-0.11642173644451527,-0.21924583569383652,-0.1145570687031133,0.02190004794582089,0.03608347837680557,-0.104803052841983,0.07649282016766891,-0.1316107731418233,0.2436507217402678,-0.12163886168093688,-0.0693308869003946,-0.07027088624334744,-0.08961816586469773,-0.039448922460472734,0.21979641977356787,0.32170270950524393,-0.07719190953277358,0.09093313598000943,-0.09704481580461771,-0.06903920336602651,0.015826699887290102,0.32512686729541146,-0.15563222128772208,-0.12480376830495847,-0.06357456990280104,0.2115111239723817,-0.05842317439705157,0.005501829232247101,-0.045698595576371785,-0.07126164351008224
5호선,-0.014754704375002143,-0.052741413054299746,-0.01056057954580937,-0.08579306125999782,0.020677682442917195,0.031569227180012815,0.009390872084288883,0.1357287675638822,-0.013368051476497533,0.08179168403030036,0.06155675275774437,0.01064381048399444,-0.13874900090222547,-0.2573566561438959,1.0,-0.043200907202864354,-0.32861469026908297,-0.02213238820976599,-0.026428407671594743,0.26463493925488973,0.2691040600298008,0.018470254962931906,0.12296123579105894,-0.010953055455382098,0.028004469521520893,-0.15136299824336458,-0.15051122966262864,-0.028408671087799285,-0.0770845279789519,0.1230174984630742,-0.007766354893603317,-0.05244390784419108,-0.11277452798777858,-0.17670076301645404,-0.05110342674832679,0.4631862691014053,-0.09592653261259955,0.048193501566597546,-0.1244568410625,-0.06775831019159011,-0.20778483905524633,-0.09738047994194422,0.09908457017268019,-0.07141453882867038,0.09061272225108699,-0.01739509867068145,-0.14696542587460715,-0.11044469801011723,0.11229890841934029,0.3001350737851182,0.06427879441095061,-0.024939239283219387,-0.08477814409337157,-0.018858926817501002,0.050943178663873295,-0.09530121112030907
6호선,-0.06791789676371471,0.016982726638567192,0.13229965196170293,-0.054028145593369825,-0.015268949102473315,0.006189859305890768,0.04189033443116293,-0.34644333525759546,0.05102914465984571,0.004176691000640173,0.04466023568156223,-0.15999893055131068,-0.08391748005155543,-0.09718779177191342,-0.043200907202864354,1.0,-0.13891918693557873,-0.112053307685849,-0.10723984110536361,-0.11718789200841641,-0.08839835525884826,0.1011470133294861,0.014937537229646476,0.09377347210137146,0.06327401528121847,0.04120009795871248,0.16677872366765797,0.18740289406339564,0.24468817434872386,0.020886973268793307,-0.01184879146382817,0.04466607032402918,-0.1893339462069802,-0.14055624556229382,-0.014091092497095356,-0.04526915451373853,-0.0769225328193332,-0.07132534166978889,-0.08944322075523269,-0.049368827039967395,-0.005031776709250447,-0.08121266164349907,-0.01274587640041543,-0.057154743632669036,0.42374853158046366,0.04195010638154617,-0.09745756645697198,0.06944264171971115,-0.15313797307630844,-0.12212265969272214,-0.039541951079287506,0.1969302001205725,0.2725865046782343,0.08305395383834058,0.19481964586928344,0.18080612226027576
7호선,-0.15705766969825433,-0.012736642019306993,-0.1047724725172383,-0.05063017660225244,-0.09815908834002235,-0.11348702425358681,-0.12007832085103011,-0.05347903763081337,0.10117241672125064,0.008846276496369682,-0.048474821148792244,-0.09219297158187086,-0.16059884044331582,0.060664445979736366,-0.32861469026908297,-0.13891918693557873,1.0,-0.16292163378207877,-0.0996629917858951,-0.21251064050490334,-0.09041448683771738,-0.11760455430537216,-0.13862409671270107,-0.15389664871883044,0.012782545274537755,-0.0712466040637565,-0.0727461241367318,-0.10680630430264934,-0.07464179762354656,-0.0592243962736118,0.010251666208120222,-0.12201702683078759,0.0054715321369466375,-0.10416719222319455,-0.048065620172612025,-0.1779719838462515,0.04384311830368771,0.04637612141254535,0.17951686061724553,0.10583658003141898,0.4335728173575,0.020430792715888133,0.042997146143911216,0.25708105052272473,-0.13937161133910342,-0.09087497432789708,0.08439430984293751,-0.11758003817683745,-0.21997601451349783,-0.15777062285272167,0.05659504233196991,-0.10660207669528152,-0.09819407045892677,-0.03515323044311774,-0.04846630428780588,0.09388746132053176
8호선,0.10873588135016696,0.06198593124001031,0.08497695172838252,0.24759717241624843,0.03796665204817461,0.060881182164000625,0.08754887856251983,0.21398038015379822,-0.07655508980600297,-0.05374503128605913,-0.03846044098697706,0.02115577859818976,0.04050291670553712,-0.11387705953875896,-0.02213238820976599,-0.112053307685849,-0.16292163378207877,1.0,0.3697485911906459,0.13973770046605735,0.0940098967387941,-0.00688586876858301,-0.25334150577411435,0.08020210197566857,-0.12110750738600629,-0.06708753830050412,-0.14929649754538601,-0.06344421601488882,-0.14105237381606586,-0.06138034434078403,-0.02326273109728975,0.1924180576630647,0.008758165444654778,-0.04183251108010075,-0.030609224025937607,-0.07281803692275887,-0.045045496344691766,-0.04143174571621361,-0.053163761287743694,-0.029923453949514348,-0.09046447557705786,-0.04858386357908014,-0.048787471349595886,-0.047548423390138025,-0.055200472840466405,-0.04545320889536119,-0.06353384247888963,-0.026440830058488105,0.6756739791675952,-0.07267957429111949,-0.04296670708684198,-0.04242234515877443,-0.042172147176849285,-0.019559008363584724,-0.02760327515460025,-0.04089964194323397
