순위,지역명
1,서울 강남구 대치동
2,서울 서초구 반포동
3,서울 양천구 목동
4,서울 강남구 개포동
5,서울 강남구 역삼동
6,서울 강남구 삼성동
7,서울 강남구 일원동
8,서울 서초구 방배동
9,서울 강남구 도곡동
10,서울 강남구 청담동
11,서울 마포구 대흥동
12,서울 서초구 서초동
13,서울 광진구 중곡동
14,서울 송파구 방이동
15,서울 도봉구 쌍문동
16,서울 성북구 정릉동
17,서울 송파구 잠실동
18,서울 노원구 중계동
19,서울 송파구 오금동
20,서울 양천구 신정동
21,서울 광진구 광장동
22,서울 영등포구 여의도동
23,서울 강서구 내발산동
24,서울 송파구 신천동
25,서울 강동구 고덕동
26,서울 은평구 진관동
27,서울 은평구 갈현동
28,서울 강남구 압구정동
29,서울 강북구 미아동
30,서울 동대문구 장안동
31,서울 금천구 시흥동
32,서울 마포구 아현동
33,서울 도봉구 창동
34,서울 송파구 송파동
35,서울 동작구 대방동
36,서울 노원구 하계동
37,서울 강서구 등촌동
38,서울 송파구 삼전동
39,서울 광진구 능동
40,서울 동대문구 신설동
41,서울 동작구 사당동
42,서울 성북구 종암동
43,서울 성동구 행당동
44,서울 강동구 상일동
45,서울 송파구 풍납동
46,서울 구로구 신도림동
47,서울 노원구 상계동
48,서울 용산구 이촌동
49,서울 관악구 봉천동
50,서울 강동구 둔촌동
51,서울 은평구 응암동
52,서울 성북구 돈암동
53,서울 구로구 구로동
54,서울 마포구 성산동
55,서울 동작구 신대방동
56,서울 은평구 신사동
57,서울 서대문구 홍은동
58,서울 동대문구 전농동
59,서울 종로구 혜화동
60,서울 영등포구 신길동
61,서울 관악구 신림동
62,서울 송파구 문정동
63,서울 광진구 자양동
64,서울 중구 신당동
65,서울 서대문구 북아현동
66,서울 노원구 월계동
67,서울 동대문구 회기동
68,서울 마포구 신수동
69,서울 마포구 상암동
70,서울 강북구 수유동
71,서울 강남구 수서동
72,서울 은평구 구산동
73,서울 동작구 동작동
74,서울 중랑구 묵동
75,서울 서대문구 대신동
76,서울 동대문구 휘경동
77,서울 중구 정동
78,서울 강서구 가양동
79,서울 서초구 양재동
80,서울 강동구 강일동
81,서울 성동구 성수동1가
82,서울 종로구 계동
83,서울 금천구 독산동
84,서울 강서구 방화동
85,서울 양천구 신월동
86,서울 성북구 석관동
87,서울 종로구 필운동
88,서울 성동구 사근동
89,서울 동대문구 청량리동
90,서울 중랑구 중화동
91,서울 성북구 성북동
92,서울 구로구 궁동
93,서울 광진구 화양동
94,서울 용산구 보광동
95,서울 용산구 용산동2가
96,서울 용산구 원효로4가
97,서울 마포구 연남동
98,서울 중랑구 망우동
99,서울 성북구 안암동2가
100,서울 종로구 홍지동
101,서울 강동구 명일동
102,서울 용산구 서계동
103,서울 종로구 평창동
104,서울 종로구 명륜1가
105,서울 서대문구 현저동
106,서울 성북구 길음동
107,서울 노원구 공릉동
108,서울 은평구 대조동
109,서울 강동구 암사동
110,서울 서대문구 북가좌동
111,서울 중랑구 면목동
112,서울 중랑구 상봉동
113,서울 송파구 장지동
114,서울 강동구 천호동
115,서울 광진구 구의동
116,서울 강남구 자곡동
117,서울 마포구 염리동
118,서울 도봉구 도봉동
119,서울 영등포구 양평동4가
120,서울 영등포구 양평동2가
121,서울 구로구 고척동
122,서울 강서구 마곡동
123,서울 강서구 화곡동
124,서울 중구 순화동
125,서울 종로구 청운동
126,서울 서대문구 충정로2가
127,서울 종로구 행촌동
128,서울 용산구 청파동3가
129,서울 종로구 안국동
130,서울 성북구 삼선동2가
131,서울 강남구 신사동
132,서울 서초구 잠원동
133,서울 도봉구 방학동
134,서울 송파구 가락동
135,서울 서대문구 홍제동
136,서울 강서구 염창동
137,서울 강남구 논현동
138,서울 은평구 불광동
139,서울 성북구 하월곡동
140,서울 동작구 상도동
141,서울 서대문구 연희동
142,서울 강동구 성내동
143,서울 성동구 옥수동
144,서울 성북구 장위동
145,서울 서대문구 남가좌동
146,서울 송파구 거여동
147,서울 동대문구 제기동
148,서울 강북구 번동
149,서울 마포구 노고산동
150,서울 영등포구 당산동5가
151,서울 강동구 길동
152,서울 성북구 동소문동4가
153,서울 영등포구 대림동
154,서울 동작구 흑석동
155,서울 구로구 개봉동
156,서울 서초구 우면동
157,서울 성동구 응봉동
158,서울 영등포구 문래동3가
159,서울 성동구 마장동
160,서울 마포구 중동
161,서울 마포구 합정동
162,서울 성동구 성수동2가
163,서울 구로구 천왕동
164,서울 구로구 오류동
165,서울 동대문구 답십리동
166,서울 영등포구 양평동3가
167,서울 영등포구 영등포동
168,서울 성북구 상월곡동
169,서울 영등포구 문래동6가
170,서울 강북구 우이동
171,서울 은평구 증산동
172,서울 종로구 이화동
173,서울 서대문구 천연동
174,서울 성동구 하왕십리동
175,서울 강서구 공항동
176,서울 성북구 삼선동3가
177,서울 영등포구 당산동
178,서울 용산구 서빙고동
179,서울 성동구 금호동1가
180,서울 중구 인현동2가
181,서울 종로구 송현동
182,서울 서초구 신원동
183,서울 중구 만리동2가
184,서울 구로구 항동
185,서울 동작구 노량진동
186,서울 마포구 서교동
187,서울 중구 을지로3가
188,서울 중랑구 신내동
189,서울 송파구 석촌동
190,서울 은평구 역촌동
191,서울 중구 충무로3가
192,서울 중구 묵정동
193,서울 마포구 망원동
194,서울 마포구 창전동
195,서울 마포구 동교동
196,서울 마포구 도화동
197,서울 중구 예장동
198,서울 중구 장충동2가
199,서울 송파구 마천동
200,서울 종로구 무악동
201,서울 동대문구 이문동
202,서울 종로구 신영동
203,서울 은평구 녹번동
204,서울 종로구 숭인동
205,서울 종로구 창신동
206,서울 강남구 세곡동
207,서울 서대문구 창천동
208,서울 종로구 관철동
209,서울 중구 오장동
210,서울 중구 필동3가
211,서울 마포구 공덕동
212,서울 금천구 가산동
213,서울 중구 필동2가
214,서울 영등포구 당산동4가
215,서울 중구 회현동1가
216,서울 관악구 남현동
217,서울 중구 을지로6가
218,서울 영등포구 도림동
219,서울 종로구 명륜2가
220,서울 중구 산림동
221,서울 중구 입정동
222,서울 중구 방산동
223,서울 중구 주교동
224,서울 중구 을지로5가
225,서울 중구 쌍림동
226,서울 종로구 종로2가
227,서울 중구 을지로4가
228,서울 중구 장충동1가
229,서울 종로구 공평동
230,서울 중구 필동1가
231,서울 성북구 동소문동6가
232,서울 종로구 묘동
233,서울 종로구 부암동
234,서울 동작구 상도1동
235,서울 중구 충무로2가
236,서울 중구 을지로7가
237,서울 광진구 군자동
238,서울 종로구 서린동
239,서울 종로구 동숭동
240,서울 중구 충무로1가
241,서울 종로구 종로3가
242,서울 마포구 신공덕동
243,서울 서대문구 대현동
244,서울 성북구 동선동5가
245,서울 동작구 본동
246,서울 종로구 인의동
247,서울 종로구 구기동
248,서울 중구 광희동2가
249,서울 중구 을지로2가
250,서울 종로구 청진동
251,서울 중구 광희동1가
252,서울 영등포구 양평동5가
253,서울 종로구 내자동
254,서울 중구 저동1가
255,서울 중구 충무로4가
256,서울 성북구 동소문동7가
257,서울 서초구 내곡동
258,서울 중구 주자동
259,서울 동대문구 용두동
260,서울 중구 충무로5가
261,서울 성동구 금호동4가
262,서울 중구 남학동
263,서울 용산구 후암동
264,서울 용산구 한남동
265,서울 영등포구 당산동3가
266,서울 종로구 관수동
267,서울 중구 남산동3가
268,서울 영등포구 영등포동8가
269,서울 서대문구 냉천동
270,서울 중구 수표동
271,서울 중구 남대문로5가
272,서울 영등포구 양평동1가
273,서울 마포구 상수동
274,서울 구로구 온수동
275,서울 중구 명동1가
276,서울 마포구 용강동
277,서울 중구 명동2가
278,서울 성동구 금호동2가
279,서울 용산구 효창동
280,서울 중구 회현동3가
281,서울 마포구 구수동
282,서울 종로구 종로5가
283,서울 용산구 산천동
284,서울 종로구 교북동
285,서울 종로구 홍파동
286,서울 종로구 명륜3가
287,서울 성북구 동소문동5가
288,서울 마포구 현석동
289,서울 영등포구 영등포동3가
290,서울 중구 예관동
291,서울 영등포구 영등포동7가
292,서울 성북구 동소문동3가
293,서울 용산구 도원동
294,서울 성동구 금호동3가
295,서울 중구 태평로2가
296,서울 종로구 신문로1가
297,서울 중구 북창동
298,서울 성동구 용답동
299,서울 영등포구 당산동1가
300,서울 중구 태평로1가
301,서울 서대문구 영천동
302,서울 종로구 통인동
303,서울 종로구 효제동
304,서울 영등포구 영등포동6가
305,서울 종로구 종로1가
306,서울 중구 남산동2가
307,서울 종로구 옥인동
308,서울 중구 남산동1가
309,서울 종로구 수송동
310,서울 영등포구 영등포동4가
311,서울 종로구 신문로2가
312,서울 용산구 이태원동
313,서울 중구 남대문로3가
314,서울 중구 수하동
315,서울 종로구 신교동
316,서울 종로구 낙원동
317,서울 성동구 상왕십리동
318,서울 종로구 명륜4가
319,서울 용산구 갈월동
320,서울 영등포구 당산동6가
321,서울 영등포구 문래동2가
322,서울 영등포구 당산동2가
323,서울 성동구 도선동
324,서울 종로구 누하동
325,서울 종로구 종로6가
326,서울 구로구 가리봉동
327,서울 성북구 동소문동1가
328,서울 중구 회현동2가
329,서울 종로구 중학동
330,서울 용산구 동빙고동
331,서울 종로구 인사동
332,서울 종로구 연지동
333,서울 영등포구 영등포동1가
334,서울 중구 봉래동2가
335,서울 종로구 연건동
336,서울 성북구 동선동4가
337,서울 중구 소공동
338,서울 성북구 동소문동2가
339,서울 용산구 원효로1가
340,서울 중구 봉래동1가
341,서울 성북구 보문동6가
342,서울 성북구 삼선동4가
343,서울 영등포구 문래동5가
344,서울 종로구 누상동
345,서울 성동구 송정동
346,서울 은평구 수색동
347,서울 영등포구 영등포동5가
348,서울 용산구 동자동
349,서울 영등포구 문래동1가
350,서울 중구 남대문로4가
351,서울 영등포구 문래동4가
352,서울 용산구 원효로2가
353,서울 중구 남대문로2가
354,서울 중구 을지로1가
355,서울 성북구 동선동1가
356,서울 용산구 한강로2가
357,서울 종로구 내수동
358,서울 강남구 율현동
359,서울 중구 다동
360,서울 성북구 보문동2가
361,서울 중구 남창동
362,서울 중구 삼각동
363,서울 중구 장교동
364,서울 종로구 돈의동
365,서울 용산구 용문동
366,서울 용산구 청파동2가
367,서울 성북구 보문동7가
368,서울 성북구 보문동5가
369,서울 중구 남대문로1가
370,서울 용산구 문배동
371,서울 종로구 송월동
372,서울 종로구 체부동
373,서울 종로구 세종로
374,서울 종로구 당주동
375,서울 종로구 견지동
376,서울 종로구 경운동
377,서울 종로구 교남동
378,서울 종로구 평동
379,서울 종로구 도렴동
380,서울 마포구 마포동
381,서울 마포구 하중동
382,서울 종로구 사직동
383,서울 성북구 삼선동5가
384,서울 중구 중림동
385,서울 서대문구 옥천동
386,서울 종로구 충신동
387,서울 서대문구 충정로3가
388,서울 성동구 홍익동
389,서울 종로구 원남동
390,서울 종로구 종로4가
391,서울 종로구 예지동
392,서울 종로구 통의동
393,서울 용산구 청파동1가
394,서울 종로구 장사동
395,서울 용산구 신창동
396,서울 성북구 보문동1가
397,서울 종로구 창성동
398,서울 서초구 염곡동
399,서울 종로구 훈정동
400,서울 성북구 안암동5가
401,서울 성북구 안암동3가
402,서울 종로구 봉익동
403,서울 종로구 원서동
404,서울 종로구 재동
405,서울 종로구 효자동
406,서울 영등포구 영등포동2가
407,서울 성북구 삼선동1가
408,서울 종로구 사간동
409,서울 종로구 가회동
410,서울 강서구 외발산동
411,서울 성북구 성북동1가
412,서울 용산구 한강로1가
413,서울 마포구 당인동
414,서울 마포구 토정동
415,서울 용산구 한강로3가
416,서울 종로구 삼청동
417,서울 종로구 소격동
418,서울 서대문구 합동
419,서울 중구 만리동1가
420,서울 용산구 용산동6가
421,서울 성북구 보문동4가
422,서울 성북구 안암동1가
423,서울 종로구 적선동
424,서울 종로구 화동
425,서울 용산구 남영동
426,서울 종로구 운니동
427,서울 종로구 와룡동
428,서울 종로구 관훈동
429,서울 성북구 동선동3가
430,서울 성북구 동선동2가
431,서울 중구 황학동
432,서울 종로구 팔판동
433,서울 종로구 궁정동
434,서울 종로구 익선동
435,서울 종로구 권농동
436,서울 서초구 원지동
437,서울 영등포구 양평동6가
438,서울 영등포구 양화동
439,서울 영등포구 양평동
440,서울 강서구 오쇠동
441,서울 강서구 오곡동
442,서울 강서구 개화동
443,서울 강서구 과해동
444,서울 마포구 신정동
445,서울 중구 무교동
446,서울 서대문구 신촌동
447,서울 서대문구 봉원동
448,서울 서대문구 미근동
449,서울 성북구 보문동3가
450,서울 성북구 안암동4가
451,서울 중구 충정로1가
452,서울 용산구 주성동
453,서울 용산구 용산동3가
454,서울 용산구 용산동5가
455,서울 용산구 신계동
456,서울 용산구 원효로3가
457,서울 용산구 청암동
458,서울 용산구 용산동1가
459,서울 용산구 용산동4가
460,서울 중구 의주로2가
461,서울 중구 서소문동
462,서울 중구 저동2가
463,서울 중구 의주로1가
464,서울 중구 흥인동
465,서울 중구 무학동
466,서울 중구 초동
467,서울 중구 인현동1가
